,city_name
0,Madrid
1,Valencia
2,Barcelona
3,Sevilla
4,Zaragoza
5,Malaga
6,Palma
7,Las Palmas de Gran Canaria
8,Tenerife
9,Alcalá de Henares y Torrejón de Ardoz
10,Leganés - Getafe
11,Vigo
12,Granada
13,Córdoba
14,Oviedo
15,Sabadell
16,Valladolid
17,Bilbao
18,Pamplona
19,Santander
20,Sant Cugat del Vallès y Rubí
21,A Coruña
22,Vitoria
24,Murcia
25,Terrassa
26,Salamanca
27,Gijon
28,Burgos
29,Alicante
30,Donostia - San Sebastián
31,Petrer
32,León
33,Soria
34,Ciudad Real
35,Puertollano
36,Gandia
37,Girona
38,Santiago de Compostela
39,Cartagena
40,Badajoz
41,Cadiz
42,Lleida
43,Parla - Pinto
44,Ourense
45,Guadalajara
46,Elche
47,Almería
48,Jaen
49,Ibiza
50,Albacete
51,Mataró
52,Rivas - Arganda
53,Marbella
54,Castellón de la Plana
55,Pontevedra
56,Sant Boi - El Prat de Llobregat
57,Benidorm
58,Talavera
59,Montserrat
60,Barakaldo
61,Algeciras
62,Roquetas de Mar
63,Fuengirola
64,Tres Cantos
65,Valdemoro + Ciempozuelos
66,Getxo
67,Jerez de la Frontera
68,Avila
69,Xativa
70,Dos Hermanas
71,Rota
72,Reus
73,Tarragona
74,Lepe
75,Almunecar
76,Logroño
77,Chiclana de la Frontera
78,Villareal
79,Villanueva de la Serena
80,San Fernando
81,Huelva
82,Ayamonte
83,Toledo
84,Torrevieja
85,Denia
86,Alzira
87,Granollers
88,Torremolinos - Benalmadena - Churriana
89,Manresa
90,Torrente
91,Lugo
92,Aguadulce
93,Puerto de la Cruz
94,Motril
95,San Javier
96,Jerez
97,Cullera
98,Parets y Mollet de Valles
99,Sanlúcar de Barrameda
100,False3
101,Linares
102,Aranjuez
103,Melilla
104,Puerto de Sagunto
105,Blanes
106,Algete
107,Illescas
108,Vilanova i la Geltru
109,San Antonio de Benageber
110,Mejorada del Campo
111,Calpe
112,Brunete
113,Castelldefels
114,Aranda de Duero
115,Las Chafiras
116,Alcantarilla
117,Alcoy
118,Aviles
119,Picasent -Alcacer - Silla
120,Figueras
121,Coria del Rio
122,El Escorial
123,Utrera
124,Ponferrada
125,Lorca
126,Azuqueca de Henares
127,Torrelavega
128,Molina de Segura
129,Ecija
130,Puerto Real
131,Arroyomolinos
132,Collado Villalba
133,Abrera
134,Segovia
135,El Ejido
136,Vilafranca del Penedes
137,Miranda de Ebro
138,Ubeda
139,Villajoyosa
140,Olias del Rey
141,False Malgrat de Mar
142,Estepona
143,Alcala de Guadaira
144,Utebo
145,Zizur Mayor
146,La Pobla de Vallbona
147,Martorell - Sant Andreu de la Barca
148,Alfaz del Pi
149,Ceuta
150,Vilaseca
151,Velez-Malaga
152,Cambrils
153,Castro Urdiales
154,Caceres
155,Manacor
156,Arteixo
157,Los Palacios y Villafranca
158,Carmona
159,Zamora
160,Santa Pola
161,Alcazar de San Juan
162,Antequera
163,Palencia
164,Ronda
165,Montequinto
166,Andujar
167,Rentería
168,Aljaraque
169,Mazarrón
170,Valdepenas
171,Villarobledo
172,Yecla
173,Martos
174,Huesca
175,Lloret de Mar
176,El Vendrell
177,Esparreguera
178,Molins de Rei - Sant Vicenç del horts
179,Arcos de la Frontera
180,Lucena
181,Calahorra
182,Tudela
183,Merida
184,Tomelloso
185,Belartza
186,Puente Genil
187,Sitges
188,Cunit
189,La pobla de Farnals
190,Costa de Adeje
191,Rincon de la Victoria
192,Irun
193,Aldaia - Alacuas
194,Can Pastilla - El Arenal
195,Calella - Malgrat de Mar - Santa Susanna
196,False4
197,Santa Ponça
198,Águilas - Andrés Segovia
199,La Dehesa de Campoamor
200,El Campello
201,Cangas
202,Durango
203,Punta Umbria
204,Mieres
205,Sada
206,Plasencia
207,Almendralejo
208,Cabo de Palos - La Manga
209,Vic
210,Coin
211,Mahon
212,Candelaria
213,Berango - Sopelana
214,Medina del Campo
215,Manzanares
216,Oliva
217,El Puerto de Santamaría
218,Alhaurin de la Torre
219,Playa de Aro
220,Inca
221,Benicasim
222,Campanillas
223,Sanxenxo
224,Conil de la Frontera
225,Telde
226,Langreo
227,Ferrol y Naron
228,Magaluf + Palma Nova
229,Cuenca
230,Gava - Viladecans
231,Oropesa del Mar
232,Boiro
233,La Escala
234,San Roque - Guadacorte - Palmones
235,Nerja
236,La Zubia
237,Cartama
238,Torredembarra
239,Sant Celoni
240,El Casar
241,Baeza
242,San Luis de Sabinillas
243,Espartinas - Umbrete
244,Benicarlo
245,Zafra
246,Torre del Mar
247,Orihuela
248,Basauri
249,Corralejo
250,Porrino
251,Alhaurin El Grande
252,Riveira
253,Carballo
254,Vecindario
255,Trapagaran
256,Puerto del Rosario
257,Paracuellos del Jarama
258,Cala Millor
259,Vall de uxo
260,Chipiona
261,Alamo
262,Astillero
263,Tarifa
264,Galdacano
265,Albolote
266,Arrecife
267,Galapagar
268,Nueva Andalucia
269,Masnou
270,Lebrija
271,Griñon
272,Maspalomas
273,Hellin
274,Tarancon
275,Novelda
276,Amposta
277,Tuy
278,San Agustin de Guadalix
279,Guadix
280,Ibi
281,FalseDontUse
282,Pilas - Hinojos
283,Moron de la Frontera
284,Arrasate (Mondragon)
285,Crevillente
286,Burriana
287,Tortosa
288,Ocaña
289,San Martin de la Vega
290,Montcada i Reixach
291,Sierra Nevada
292,Requena
293,Linea de la Concepcion
294,Puenteareas
295,Onda
296,Villena
297,Andorra - WRONG (OLD)
298,Fuenlabrada
299,San Martín de Valdeiglesias
300,Mostoles - Alcorcon - Arroyomolinos
301,Guadarrama
302,Benavente
303,Bayona
304,Cancelada
305,Torre del Campo - Torredonjimeno
306,Ondara
307,Quintanar de la Orden
308,Navalmoral de la Mata
309,Coma-Ruga + Roda de Berá + Francas
310,Cerceda
311,Quesada
312,El Higueron
